PNO12,req_week_name,Volume
15537U101119,1902,1
22525120D119,1902,3
22525130D119,1902,2
22525R50D119,1902,2
22572110D119,1902,1
225721201119,1902,1
22572120D119,1902,4
22572130D119,1902,2
22572R501119,1902,1
225A3130C119,1902,1
225A3R50C119,1902,2
225A81101119,1902,1
225A8110C119,1902,1
225A8120D119,1902,1
225A8130D119,1902,4
225A8R50D119,1902,4
225AR110C119,1902,1
227A8120C119,1902,2
234A8130D119,1902,1
234A8170D119,1902,1
235A81201119,1902,1
235A8120D119,1902,4
235A8130C119,1902,1
235A8R50D119,1902,1
235AK120D119,1902,1
23625130C119,1902,1
23668120C119,1902,1
23668130C119,1902,4
236A8120C119,1902,2
236A8130C119,1902,1
24625120C119,1902,1
24625120D119,1902,1
24625130C119,1902,4
24625130D119,1902,3
24625R50D119,1902,1
24668120C119,1902,3
24668130C119,1902,11
24668R50C119,1902,6
246A3130C119,1902,2
246A3R50C119,1902,1
246A81201119,1902,2
246A81204119,1902,2
246A8120C119,1902,16
246A8120D119,1902,15
246A81304119,1902,1
246A8130C119,1902,6
246A8130D119,1902,8
246A8R501119,1902,1
246A8R50C119,1902,13
246A8R50D119,1902,9
246AK120D119,1902,3
246AK130D119,1902,1
246AKR50D119,1902,1
246AR1201119,1902,1
246BM120D119,1902,1
246BMR50D119,1902,3
25668120C119,1902,5
25668130C119,1902,7
25668220C119,1902,7
25668230C119,1902,10
25668R50C119,1902,7
25668R70C119,1902,8
25668TB0C119,1902,1
256A3130C119,1902,1
256A3230C119,1902,1
256A3R70C119,1902,1
256BM230D119,1902,2
52532R200119,1902,1
52532U200119,1902,1
525351201119,1902,1
525361201119,1902,3
52536U201119,1902,1
52632U200119,1902,1
526721200119,1902,1
536111101119,1902,2
536111201119,1902,2
536111701119,1902,3
53613R50C119,1902,1
536141101119,1902,1
536141201119,1902,1
53614R501119,1902,2
536721101119,1902,2
53672110C119,1902,1
53672110D119,1902,4
536721201119,1902,2
53672120C119,1902,2
53672120D119,1902,3
53672130C119,1902,1
53672130D119,1902,2
53672170C119,1902,1
53672170D119,1902,3
536A6120C119,1902,2
536A6130C119,1902,5
536A6170C119,1902,2
536A6R50C119,1902,6
536AC120C119,1902,1
536AC120D119,1902,3
536AC130C119,1902,4
536AC130D119,1902,3
536AC170C119,1902,2
536AC170D119,1902,2
536ACR50C119,1902,3
536ACR50D119,1902,10
15529U100119,2006,0
15537U101119,2006,0
15549R20C119,2006,0
155A0P30C119,2006,0
22425R50D119,2006,0
22525120D119,2006,3
22525130D119,2006,53
22525R50D119,2006,16
225721101119,2006,1
22572110D119,2006,0
225721201119,2006,5
22572120D119,2006,14
225721301119,2006,1
22572130D119,2006,4
22572R501119,2006,0
22572R50D119,2006,0
225A3120C119,2006,0
225A3130C119,2006,6
225A3R50C119,2006,11
225A81101119,2006,0
225A8110C119,2006,0
225A81201119,2006,0
225A8120C119,2006,3
225A8120D119,2006,7
225A81301119,2006,0
225A8130C119,2006,1
225A8130D119,2006,7
225A8R501119,2006,1
225A8R50C119,2006,1
225A8R50D119,2006,5
225AR110C119,2006,0
225AR120C119,2006,0
225ARR50C119,2006,0
225BM130D119,2006,2
225BMR50D119,2006,4
227A8120C119,2006,15
23468130C119,2006,0
23472120D119,2006,0
234791200119,2006,0
234A8120D119,2006,0
234A8130D119,2006,0
234A8170D119,2006,0
234AK130D119,2006,0
234BM130D119,2006,0
234BMR50D119,2006,0
23525120D119,2006,0
23525130D119,2006,0
23525R50D119,2006,0
23568120C119,2006,2
23568130C119,2006,1
23568R50C119,2006,2
23572110D119,2006,0
23572120D119,2006,4
235A3120C119,2006,0
235A3130C119,2006,0
235A3R50C119,2006,0
235A81101119,2006,0
235A8110C119,2006,0
235A8110D119,2006,0
235A81201119,2006,0
235A8120D119,2006,1
235A8130C119,2006,0
235A8130D119,2006,4
235A8R50C119,2006,0
235A8R50D119,2006,1
